Route Type,Route,Stop Code,Stop Seq,Stop Name,Stop Name Marathi,LAT,LONG,Stage   
Non-BRTS,102-D,102-D-30,30,Deccan Corner,डेक्कन कॉर्नर,18.513955,73.841853,10    
Non-BRTS,102-D,102-D-31,31,Garware College,गरवारे कॉलेज,18.512112,73.838403,10    
Non-BRTS,102-D,102-D-32,32,Sonal Hall,सोनल हॉल,18.510405,73.834854,10    
Non-BRTS,102-D,102-D-33,33,Nal Stop,नळ स्टॉप,18.508895,73.832018,10    
Non-BRTS,102-D,102-D-34,34,SNDT College,एसएनडीटी कॉलेज,18.507228,73.828329,11    
Non-BRTS,102-D,102-D-35,35,Paud Phata,पौड फाटा,18.505422,73.824295,11    
Non-BRTS,102-D,102-D-36,36,More Vidyalay,मोरे विद्यालय,18.510450,73.819634,11    
Non-BRTS,102-D,102-D-37,37,Ideal Colony,आयडियल कॉलनी,18.510170,73.817161,11    
Non-BRTS,102-D,102-D-38,38,Anandnagar Kothrud,आनंदनगर कोथरुड ,18.509647,73.814502,11    
Non-BRTS,102-D,102-D-39,39,Jai Bhavaninagar,जय भवानीनगर,18.509376,73.812227,12    
Non-BRTS,102-D,102-D-40,40,Pratiknagar,प्रतीकनगर,18.508257,73.810270,12    
Non-BRTS,102-D,102-D-41,41,Vanaj Corner,वनाज कॉर्नर,18.507381,73.807383,12    
Non-BRTS,102-D,102-D-42,42,Vanaj Company,वनाज कंपनी,18.507128,73.805019,12    
Non-BRTS,102-D,102-D-43,43,Shikshaknagar,शिक्षकनगर,18.510285,73.803364,12    
Non-BRTS,102-D,102-D-44,44,Paramhansnagar,परमहंसनगर,18.512042,73.803147,13    
Non-BRTS,102-D,102-D-45,45,Shikshaknagar,शिक्षकनगर,18.510285,73.803364,13    
Non-BRTS,102-D,102-D-46,46,Kachara Depot Kothrud,कचरा डेपो कोथरुड ,18.507439,73.799912,13    
Non-BRTS,102-D,102-D-47,47,Bharatinagar,भारतीनगर,18.507788,73.796761,13    
Non-BRTS,102-D,102-D-48,48,Kothrud Depot,कोथरुड डेपो,18.507906,73.794907,14    
Non-BRTS,102-U,102-U-00,0,Kothrud Depot,कोथरुड डेपो,18.507906,73.794907,1,,     
Non-BRTS,102-U,102-U-01,1,Bharatinagar,भारतीनगर,18.507906,73.796750,1    
Non-BRTS,102-U,102-U-02,2,Kachara Depot Kothrud,कचरा डेपो कोथरुड ,18.507551,73.799908,1    
Non-BRTS,102-U,102-U-03,3,Shikshaknagar,शिक्षकनगर,18.509734,73.803396,1    
Non-BRTS,102-U,102-U-04,4,Paramhansnagar,परमहंसनगर,18.512165,73.803112,2    
Non-BRTS,102-U,102-U-05,5,Shikshaknagar,शिक्षकनगर,18.509734,73.803396,2    
Non-BRTS,102-U,102-U-06,6,Vanaj Company,वनाज कंपनी,18.507205,73.805158,2    
Non-BRTS,102-U,102-U-07,7,Vanaj Corner,वनाज कॉर्नर,18.507473,73.807289,2    
Non-BRTS,102-U,102-U-08,8,Pratiknagar,प्रतीकनगर,18.508357,73.809815,2    
Non-BRTS,102-U,102-U-09,9,Jai Bhavaninagar,जय भवानीनगर,18.509302,73.811528,3    
Non-BRTS,102-U,102-U-10,10,Anandnagar Kothrud,आनंदनगर कोथरुड ,18.509693,73.814499,3    
Non-BRTS,102-U,102-U-11,11,Ideal Colony,आयडियल कॉलनी,18.510847,73.817492,3    
Non-BRTS,102-U,102-U-12,12,More Vidyalay,मोरे विद्यालय,18.510875,73.819868,3    
Non-BRTS,102-U,102-U-13,13,Paud Phata,पौड फाटा,18.506051,73.826171,3    
Non-BRTS,102-U,102-U-14,14,SNDT College,एसएनडीटी कॉलेज,18.507301,73.828511,4    
Non-BRTS,102-U,102-U-15,15,Nal Stop,नळ स्टॉप,18.509020,73.831963,4    
Non-BRTS,102-U,102-U-16,16,Sonal Hall,सोनल हॉल,18.510452,73.834959,4    
Non-BRTS,102-U,102-U-17,17,Garware College,गरवारे कॉलेज,18.512424,73.838716,4    
Non-BRTS,102-U,102-U-18,18,Deccan Corner,डेक्कन कॉर्नर,18.513532,73.841372,4    
Non-BRTS,102-U,102-U-19,19,Goodluck Chowk,गुडलक चौक,18.517554,73.841565,5    
Non-BRTS,102-U,102-U-20,20,Fergusson College,फर्ग्युसन कॉलेज,18.522284,73.840946,5    
Non-BRTS,102-U,102-U-21,21,Dnyaneshwar Paduka,ज्ञानेश्र्वर पादुका ,18.526400,73.841896,5    
Non-BRTS,102-U,102-U-22,22,Police Ground,पोलीस ग्राउंड,18.530705,73.844133,5    
Non-BRTS,102-U,102-U-23,23,Simla Office,सिमला ऑफिस,18.530306,73.849098,5    
Non-BRTS,102-U,102-U-24,24,Lokmangal,लोकमंगल,18.530080,73.850760,6    
Non-BRTS,102-U,102-U-25,25,Engineering College,इंजिनिअरिंग कॉलेज,18.530093,73.856675,6    
Non-BRTS,102-U,102-U-26,26,RTO,आरटीओ,18.529658,73.862730,6    
Non-BRTS,102-U,102-U-27,27,Gadital,गाडीतळ,18.527127,73.864549,7    
Non-BRTS,102-U,102-U-28,28,Ambedkar Bhavan,आंबेडकर भवन,18.524302,73.870437,7    
Non-BRTS,102-U,102-U-29,29,Sasoon Hospital,ससून हॉस्पिटल ,18.525642,73.872047,7    
Non-BRTS,102-U,102-U-30,30,Pune Station,पुणे स्टेशन,18.528343,73.874137,8    
Non-BRTS,102-U,102-U-31,31,Ruby Hall,रूबी हॉल,18.533150,73.878084,8    
